quote	source
She looks great in that skirt. Her butt is so cute.	C.B. Lee, Not Your Sidekick
You’re crazy.”“No one sane is this awesome,” he said as he pointed a finger at himself	L.A. Casey, Ryder
you are so cute she said it's just because of you he replied :)	shivangi lavaniya
Cause honey your soulcould never grow oldits evergreen	Ed Sheeran
Yours till submarines have screen doors.	Carole Geithner, If Only
...I think I might die if I don't kiss you right now. A real-life kiss.	Mari Mancusi, Gamer Girl
I wonder if he’d been as beautiful as Dante. And I wondered why I thought that.	Benjamin Alire Sáenz
I'm not perfect. Never have been.Never will be.~ Louis Tomlinson	Louis Tomlinson
Great. Men affectionately attacked me with sticks to show their admiration.	Katherine Pine, Poisoned
I stuck my finger in his belly buttonand squiggled it around.“Belly button rape!	Jennifer James
You were meant for me, Poppy. I can feel it in my fingertips when I touch you.	Tess Oliver, Distraction
Hey, Tiffany. If I have to walk - if I have to steal a horse - I'll be there	Bill Condon
Those whom the gods love grow young.	Oscar Wilde
The gods were great, but what good was greatness if you didn't love?	Lev Grossman
Love The Way Love, Loves You	Syed Sharukh
I want you too, so much,” she whispered. He murmured in her ear, “Then take me.	Thea Harrison, Spellbinder
We are pagans. We deify each other.	Lara Biyuts, The Dome
What is the point of searching for love, when love is nothing but an illusion?	Marie Lu, The Rose Society
Reality is a hallucination shared by most sane men.	Mokokoma Mokhonoana
Ah, love. That’s what the world has lost. There’s no more love, only the illusion of it.	Lauren DeStefano, Fever
A person with the best strategy never gets angry.	Debasish Mridha
Love is a fearless soul.	Lailah Gifty Akita
I am longing to show him my love, but not by doing what is wrong	Gillian Shields, Immortal
For the right woman? I'd like to think I'd do just about anything.	Richard Castle, Heat Wave
Finding the right one is never easy. Especially, when the wrong one looks so right.	Hanifa Johnson
I know two kinds of Christians, those that love and those that love to be right.	Jim Sterling
When the sun goes out, it will be your love that keeps we warm.	Anthony T. Hincks
When you're in love, the sun never stops shining.	Anthony T. Hincks
Every time I looked at the sky and at my watch, that monster was still up there.	Julie Hecht
Because becoming suns to enlighten other people's faded suns is really worth it	Ρένα Ρώσση-Ζαΐρη
If no one loved, the sun would go out.	Victor Hugo, Les Misérables
People who are afraid of the truth never find it.	Amy Harmon, The Law of Moses
Love is love. It doesn't matter what kind it is.	Banana Yoshimoto, N.P
Too much of anything can make you sick,even the good can be a curse - Cheryl Cole	Cheryl Cole
Annabelle was practically standing on my back. It was like wearing an Annabelle backpack.	Rose Pressey, Forever Charmed
What happens this weekend stays between us. We set the rules.	Jayson James, Summer Escape
To love someone is to see a miracle invisible to others.	François Mauriac
Love will let you want and trust in Miracles.	Prakash Hegade
The miracles of life are love, faith and hope.	Lailah Gifty Akita
Those who say that money can’t buy one love make it sound as if love can buy one money.	Mokokoma Mokhonoana
The more you love, the more love you are given to love with.	Lucien Price
You can NEVER be poor by giving and showing love to others.	Kemi Sogunle
You attain happiness not by gaining, but by giving.	Debasish Mridha
Happiness comes from loving and giving	Debasish Mridha
Everything he was, he gave to her.	L.J. Smith
Having love and not giving it is just as difficult as not having love and needing it	Katerina Stoykova Klemer
You can give without loving ,but you can't love without giving.	Jazlyn Roehl
The more judgmental a person is the sadder they are.	David W. Earle
Loving a warrior is not easy. I pray our Lord Jesus will strengthen you for the journey.	Ronie Kendig, Crown of Souls
For a guy who wore layers upon layers of armor, his give-a-shit was showing.	Kelly Moran, Redemption
Turns out I’m not so easily broken.	Melissa Cutler, Undefeated
My mouth only does one thing well, and talking’s not it.	Melissa Cutler, Undefeated
Memories are nice, but dreams are better.	John Anthony  Miller
We are all searching for someone whose demons play well with ours.	Faraaz Kazi
She was invisible. Forgettable. Forgotten.	Johnny Worthen, Beatrysel
Get your filthy paws off my son, feet pue tan!" Cherise	Sherrilyn Kenyon, Illusion
Every man is an island, and every heart seeks the ferry to cross the main...	Mykyta Isagulov
Tell me once more about the eternal surf.	Rob Bignell, Editor
How he loved and yetwished to leave you: always both, at once.	Rainer Maria Rilke
I need someone who is willing to watch me brave the ocean and then dare me not to drown.	Colleen Hoover, Maybe Someday
The only way to know the honesty of any person is to love them without desire.	G.K. Dutta
It takes two to manage the relationship, but it takes one to begin the change.	Sheri E. Ragland
Love is the ocean. We are all the waves.	Subhan Zein
Quality sells itself. No hype needed.	Brandi L. Bates, Red Flags
Some say pain is the greatest motivator. . . I say it's love.	Solange nicole
If you want to attain some heights in your life, you have to walk every minute.	Prakhar Srivastav
My flaws and imperfections make me perfectly incomplete.	Aisha Mirza
Love is a trance which oscillates between hormones and emotions.	Chandan Sharma
Everyone needs a place to be honest.	David W. Earle
Change is threatening to the status quo.	David W. Earle
Fun is never gone because life is fun.	Debasish Mridha
Let’s be assholes and enjoy the life.	M.F. Moonzajer
Hey Audrey,I am watching you de-clutter your house,do you need help?	Toni Aleo, Empty Net
What a grand thing, to be loved! What a grander thing still, to love!	Victor Hugo
Rule with the heart of a servant. Serve with the heart of a king.	Bill Johnson
If loving comes easy, nothing else seems hard.	Marty Rubin
Just take my hand &let us dance under a chandelier of starlight.	Trevor Driggers
Just take my hand & let us dance under a chandelier of starlight.	Trevor Driggers
The more you care, the more you fear.	Wayne Gerard Trotman
Happiness is the gap between loving and longing.	Debasish Mridha
Unfortunately, loving someone doesn't obligate them to love you back	J. Matthew Nespoli
In love, all kinds of love, we wait. If I can't be your dawn, I will be your sunset!	Rossana Condoleo
I'm crazy, Zed.' There, I'd admitted it.'Uh-huh. And I'm crazy too -about you.	Joss Stirling, Finding Sky
But you said you love me. You don’t just leave after that.	Ava Dellaira
When he touches me, the sky and the earth switch places.	Autumn Doughton, This Sky
Have an appreciating eye to enjoy the beauty of sky.	Debasish Mridha
Whereever you go we will share the same sky	Y.Odabaşı
Tonight the sky is the color of my heart, bleeding crimson for my love	Paige Aufhammer
You are driving me crazy. You have been driving me crazy for weeks.	Jennifer Niven
I know that you know that I'm awesome, and that you know that I know that you're awesome!	Shreya Gunna
It sounds crazy, to think that I cared so much without ever talking to you.	Tahereh Mafi, Shatter Me
She thought she loved him. She was crazy.	V.S. Carnes
Crazy was better than in love. You could walk away from crazy without regrets.	Starr Ambrose, Lie to Me
We will be judged by how well we love.	Toni Morrison, Desdemona
I love women more on canvas than real life, for they seldom change on canvas!	Ramana Pemmaraju
I photography women as I liked to fell in love of them.	Aurélien Roulland
Truth with love is a lie	Fyodor Dostoyevsky
Sometimes you have to lie. Sometimes it’s the only way to protect the ones you love.	Emily Bleeker, Wreckage
lies can run but they can’t hide	pavankumar nagaraj
lie can run but they can’t hide	pavankumar nagaraj
I had fallen in love with a perfect lie.	R.K. Lilley, In Flight
After all, you are a hero and everything.	V.S. Carnes
Fighting does not make you a hero. Love does.	Sameh Elsayed
There was no sign he’d even been in a fight –Fucking Golden Boy.	Liz Thebart, Walk Away
A cynic by experience, a romantic by inclination and now a hero by necessity.	David Gemmell, Legend
Jean's desires, like those of all men in love, were concentrated on the impossible.	Marcel Proust, Jean Santeuil
Till then I wasn't alive, I longed for you like the love sick moon pulls the tide	Corinne Bailey Rae
If your heart is broken, do you have a phantom heart?	Damon Suede, Hot Head
i never knew that the things i left unsaidmade the loudest noise in her heart	Aditya Kandari
Methinks I lied all winter, when I sworeMy love was infinite, if spring makes it more.	John Donne
Mother, I will look to like. If looking liking moves.	William Shakespeare
Of all mad matches never was the likeBeing mad herself, she’s madly mated.	William Shakespeare
That they will find each other during the play, once more, in the words of Shakespeare.	Gayle Forman, Just One Night
Real love is booty grabbin	Janey McGregor
Women may fail when there is no strength in man	William Shakespeare
Innocence eroded into nightmare.All because of very bad touch.Love, corrupted.	Ellen Hopkins, Fallout
You worry too much." "Because you worry not enough.	A.E.  Kirk, Midnight Poison
Not many get to see this side of him. So, if you do, know that you’re lucky.	Liz  Newman
I give you my love & my luck. Don't throw either away.	Kelly Moran, Sheer Luck
Luck always favors those who are bold.	Debasish Mridha
I'm looking over a four-leaf clover that I overlooked before.	Jerry Spinelli, Stargirl
Ummmm hi" and my broken heart twitches in an attempt to start beating again	Yesenia Barkley
Kill the part of you that believes it can't survive without someone else.	Sade Andria Zabala, War Songs
So nobody got time for people who aren't worth your time.	Fiona Chazhoor
As long as your name is NOT Jesus,I CAN live without you	Roezeay Dube
Where there's love, gossip won't strive or thrive.	Kemi Sogunle
To a great mind, nothing is little.	Arthur Conan Doyle
It is useless to cry over a thing which is not belong to you....	Jawad Khalid
I will never know you well enough. I will always want more.	Priya Ardis, Ever My Merlin
I earned the right not to compete for a man.He wants me... Or... She is welcome to him...	Virginia Alison
To change yourself, let go of what you are and accept what you want to be.	Debasish Mridha
If I want to be anything, I want to be a messenger of peace.	Debasish Mridha
You were right. I'm going to make you want things you never knew you wanted.	Meredith Wild, Hardwired
I don't want what I can't have. I don't want to want what I can't have. -Nate	Lori L. Otto, Lost and Found
I lived a life, a life of risks, risks I never took.	Aleksandar Marinkov
Well, that is what you risk when you fall in love. You risk losing your dignity.	J.M. Coetzee, Summertime
Do not try to compensate people for the love they show you. Rather, replicate the love.	Faithful Akpaloo
Take time to sense the abundance we have, as we don't have an abundance of time.	Dixie Waters
Being judgmental is a form of attack keeping others off balance.	David W. Earle
Boundary violations are deeply experienced.	David W. Earle
May feel like you're falling', Tabby, but remember, I'm at the bottom ready to catch you.	Kristen Ashley, Own the Wind
I don't wanna need you because I can't have you.	Clint Eastwood
All I need is you even though I don't know if I can have you.	Fatma Alfalasi
A love that requires constant attention is a doomed love.	Marty Rubin
The people who seem to need love the least are the ones who usually need it the most.	Kate McGahan
Love those wrongdoers, they need it more than you.	Alfred Hitchcock
Let my love show you the way and give you guidance in the moment of need.	Debasish Mridha
I need to breathe” I manage to get out, his hold on me loosens slightly.“I need you	R.S. Burnett, Bet Me
Love is not insatiable. What is insatiable is the need for love.	Marty Rubin
Music does not need a visa to enter your heart.	Sukant Ratnakar
There is much more joy in being a survivor than been a quitter.	Omoakhuana Anthonia
Don’t make me angry-kiss you	Rainbow Rowell, Fangirl
Some books you read and savor. Some, you carry close to your heart.	S.R. McKade
He loved books, those undemanding but faithful friends.	Victor Hugo, Les Misérables
Crime isn't pretty, only fashionably dressed.	S.W. Frank, Amoroso
I am lost in the world of books. So many books to read.	Lailah Gifty Akita
Don't read a book to let the time pass...let the time pass to read a book.	Nicholaa Spencer
Books are the greatest treasure of wisdom and knowledge for mankind.	Lailah Gifty Akita
I spent my life folded between the pages of books.	Tahereh Mafi, Shatter Me
Love is cursed by monogamy	Kanye West
We were what seemed important then, not some label.	Nancy Garden
I'm not society's version of beautiful But you're mine.	R.J. Seeley, Jonathan
Everyone's got their own way of loving. There's no such thing as 'supposed to	Rachel Manija Brown
The game of love is complicated, but love is not complicated.	Marty Rubin
The Simplicity Is Hardest Things To Define The Purity Of Love.	Yaganesh Derasari
Simplicity, not cleverness, can be the source of happiness.	Debasish Mridha
He was powerful and I died of love in his shadow.	Elizabeth Gilbert
To a child love is spelled T-I-M-E.	Zig Ziglar
There are no dots in Tee'sOr cross in eye'sThere is no connect in child neglect	Lilly White
Mommy. Do you ever wish a book will never end?	Angela D'Ambrosio
I like physics, but I love cartoons.	Stephen Hawking
Love is something that u feel inside that others can not.	Sphencer Perales
Love is selfish yet a selfless feeling.	Heenashree Khandelwal
It really seems magical when someone loves you back equally you love	Pawan Mehra
You will never be lonely if you love yourself enough	Steven Aitchison
Be kind to humanity, she is very lonely, everyone is busy with themselves.	Debasish Mridha
Life without love is a lonely path.	Eveth Colley
The worst distance between two people is misunderstanding	Neetesh Dixit
Single life is the best life until you get hit by lonely nights.	Jonathan Anthony Burkett
There's a world out there that nobody has bothered to promise her.	Lauren DeStefano, Sever
Love should never be too much or too less, yet it cannot be measured.	Rizi Dame C. Briz
don't leave without living	Ernest Agyemang Yeboah
The summer in youcalms the winter in me.	Saiber, The Summer in You
Endure the cold, and true love will follow.	Rosca Marx, Wake Norway
You are my winter suddenness—a glass of red wine spilt across a white tablecloth	John Geddes
The first snow is like the first love. Do you remember your first snow?	Lara Biyuts
I am gonna shock the crowd, you are just gonna wow them.	Brynn Myers, Entasy
It's rather good to pretend to be normal with someone.	Ana Franco, Down the Wormhole
It's sad to see the devil cry.	Aubrey Brooks Esquire
I will love you always, because you will always be worthy of love.	Oscar Wilde, An Ideal Husband
Valentine's day without your love is like a year without the Internet.	Santosh Kalwar
Technology is cold, find a real hand to hold.	Paul McGirl
Persistence is a necessary ingredient for success.	Debasish Mridha
The art of love is largely the art of persistence.	Albert Ellis
Love, endure, persist... Everything will return to you, innocent fool!	Raheel Farooq
There is no difference between being an artist and being in love.	Marty Rubin
True leadership is caring about the people who don’t care about things you care about.	Richie Norton
Alone we come and alone we leave. Verily! Love and care is just a pretence.	Faizan Ahmad Zargar
Infatuation -You easily back off. Love -You silently care, no matter what..!!	Akansh Malik
Control your anger before it controls you	Faisal Attari
....Love is not only wired, but elusive too.	Farooq A. Shiekh
Love is when two people who care for each other get confused.	Rahul Rawat
I love all those who understand my care.	Waqar Aamir Katiar
You don't need to look smart for the one who loves you a lot	Pawan Mehra
Why so many eager to hear the word of “I love you” and so few care to see?	M.F. Moonzajer
I am an inclusive lover, but I only do care about the virgins.	M.F. Moonzajer
Love and wisdom are guides towards awakening.	Belsebuub
He only said the one word. A prayer. A supplication. A breath from his heart to mine.	C.D. Reiss, HardBall
Something that you love so much you would be willing to die for it.	Alcurtis Turner
One hit, one moan of fractured air, one solid impact and the man went down.	L.G. Kelso, Fierce
Don't cry because first priority is happiness.	Rohit Dhariwal
Those we love are the only ones worth crying over.	Allie Brennan, Tight Knit
There can be no deep disappointment where there in not deep love.	Martin Luther King Jr.
Loving someone more than they love you is a sucky thing. But I’m over it.	Lauren Dane, Once and Again
cynicism springs from disappointments in love.	Marty Rubin
...never be disappointing - you may wound me, but you must never be disappointing...	John Geddes, A Familiar Rain
If love is not the answer, what is the question?	Marty Rubin
What's the difference between hot and cold cereal? Why can't all cereals get along?	Ean Rodriguez
A little orange will put a spring into your day.	Anthony T. Hincks
Everyone has a weakness but I have two, everything you say and everything you do.	Unknown
What you love the most always finds a way to become your biggest weakness,	A.M.L
What you love most always finds a way to also become your biggest weakness.	A.M.L.
Love is for the weak!	Daren J. Crone
In the midst of wanting to be powerful, I found a weakness.	baka_usagi, Forbidden Apple
I want her to engulf me in her blaze & scorch me until my darkness lies in ashes.	Dani René, Crave
You want something, you go after it, and you hang on to it	Joya Ryan, Chasing Desire
You have no idea how dirty I can play.” He laughed. “Bring. It. On.	Amy Andrews, Ask Me Nicely
I love to write and to get to know the people who are listening.	Emilie Autumn
The art of hearing what somebody has to say is actually, listening.	Colette Ruland Parrino
Once upon a time I was falling in love. Now I'm only falling apart.	xxblagitxx, Kiss Cam
Being in love is to be half-cooked inside an eggshell called love.	Javier Enríquez Serralde
Go forth and let the magic happen.	Robert Winter, September
Sometimes the person you fall for isn’t ready to catch you.	Unknown
Nobody is perfect until you fall in love with them.	Unknown
The saddest thing about falling in love is that sooner or later something will go wrong.	Unknown
This simple accident of falling in love is as beneficial as it is astonishing.	Robert Louis Stevenson
I spend most nights at home falling in love with the idea of you.	Michael Faudet
Falling in love is different for everyone.	Michael R. French
Your lover should be your best friend.... Love can be a choice as much as an accident.	Carol Cassella, Oxygen
Always say yes and try before you say no.	Chloe Thurlow, Katie in Love
An attractive woman becomes beautiful when she's happy and in love.	Chloe Thurlow, Katie in Love
If you mean your words, people who lust over your lovely ways won't dare to reject you.	Auliq Ice
Love is one of the strongest feelings one can ever have.	Auliq Ice
His gaze was so soft that she would like to wrap herself with it.	Kristen Heitzmann, Secrets
Love is what stands in the way of self discovery, try not to find, it will find you.	Auliq Ice
To fall in love is a legendry action that doesn't need any explanation.	Auliq Ice
If only falling in real life love were this easy. Take a big breath and open your eyes	Linda Yellin, What Nora Knew
Fall in love for as long as you can with the one who sees you when you are invisible.	Darnell Lamont Walker
He pulled me closer until his lips breathed me in, until we were sharing one breath.	Heather Anastasiu, Glitch
The srongest love is the love which is not afraid to show the weakness	Paulo Coelho
You are the sweetest thug I've ever known.	J.R. Ward
Every lover is a soldier.	Ovid, Amores
The completion is always more difficult that the beginning	Paulo Coelho
You darling is my semicolon.	Waseem Latif
The softest emotions of the heart are the hardest to control.- Not First Love	Jennifer Lawrence
There is none more beautiful than the lover of beauty.	Raheel Farooq
Lovers die inward that their flames conceal.	John Webster, The White Devil
A good lover is a person who knows how to love deeply but never expects any in return.	Debasish Mridha
His love is good I can not compare it to anything	blasio kajuna
I just think that 'dating' is an engagement and not 'fun'." Emily says.	Pet Torres, Tiger's Obsession
If you never get your heart broken, you'll never learn to love.	Dhiren Prajapati
He was presumably a lover. They did things like commanding battalions. And worse!	Ford Madox Ford, Parade's End
Let me go!” I snarl at him, trying to wrest my arm from his grasp. “I can’t,” he says.	Suzanne Collins
Real Love Spread Real Happiness!	Nasir
The most emotional cost in life is to love someone who does not care.	M.F. Moonzajer
It was youWho opened meLooked into my soulTo study meYou revealed youTo uncover me.	David Somorai
No matter how different we are on the outside, the love we have within us is the same.	Lorri Faye
I wish to get you out of my veins, but you are my third skin; I can't rub you off.	Sheeba Shamsudeen
Love and laughter are stronger than cancer.	Tanya Masse
A moment is not complete until you realise it is fleeting...	Stuti Dhyani
Every moment is important, like the moment that takes away your life.	Debasish Mridha
The love of every single one of my lives.	Alyson Noel, Blue Moon
I love you now... I love you immortally, even if I die and there is nothing left of me.	Gail Carson Levine, Ever
Unable are the loved to die, for love is immortality.	Emily Dickinson
A body can't live without a heart. And I can't live without you.	Jessica Khoury, Origin
Even though I had been broken, I was strong enough to love again someday.	Kathleen Hayes
Sometimes the man of your dream only belongs in your dream.	Precious Kerme
No one is perfect till you make some feel you are perfect	Nashofficials
Sometimes you just want to hug someone and drown.	Alamvusha
Sometimes broken people teach broken people how to be whole again.	Q.Gibson
We are both broken people but our pieces fit together.	Eunice Pinkard
Ending a problem is not a solution for that Problem.	pavankumar nagaraj
Eyes as dark as her heart and as empty as her soul	Shayna Rodriguez
Broken love is the most dangerous love. It will slice you open with every touch.	Tiffany Reisz, The Siren
Life is short, Love is Endless. Live and love life to the full!	ktr0x
My pit of love is too shallow, I can't fall deep.	Cecil Thounaojam
It is better to die, than dive heart-first, into a pool of love, only knee-high deep.	Anthony Liccione
As for me I will follow the path of the pink bunnies.	Magenta Periwinkle
Logan must survive. That is the only truth. The only goal. My sole mission.	Siobhan Davis, Saven Denial
Hush now, ‘tis time to sleep and dream secrets of long ago.	Jan  Reid, Deep Water Tears
It's okay to be happy.	Megan Duke, Small Circles
I love it when you stare at me but my arrogance is entirely your fault.	Brent M. Jones
Love is the blind revelation of arrogance.	Lionel Suggs
One day I finally decided, that there is no point sharing my feelings, You don't enjoy...	Ramana Pemmaraju
If you like a person at their worst, you will love them at their best.	Jeffrey Fry
To see the true beauty of a person, see through the mirror of your love.	Debasish Mridha
True love is like wine, it gets stronger with age.	Farid F. Ibrahim
... secrecy adds a charm to an amour ...	Frederick Marryat, The Pirate
Love is the key, love is the secret.	Osho, The Secret of Secrets
We've talked, and alot has been said ,but no words were uttered at all	A.M.M Alusi
The secret of a successful life isn't the success but happiness.	Debasish Mridha
Secretly we fear ourselves, not the fear itself.	Debasish Mridha
The secret of life is love, but the purpose of life is happiness.	Debasish Mridha
Some flowers blush sensing their own beauty and the love they feel from us	Brent M. Jones
Real love ought to be more like a tree and less like a flower	Mya Robarts
I had only to open my bedroom window, and blue air, love, and flowers entered with her”.	Marc Chagall
Summer set lip to earth's bosom bare, and left the flushed print in a poppy there.	Francis Thompson
Love is the first feeling we felt since birth and the last thing will need in Death.	Ricardo Luis Ivan I Geronimo
Love is alcohol.	Katherine Applegate
Gin and tonics won't say "I love you" and neither will he.	Sarabeth Purcell
Words are never enough!	Anthony T. Hincks
Love must become the essence of our being	Sunday Adelaja
I love, therefore I am.	Robert Graves
Love is beautiful,A beautiful deception.One falls in itTo deceive the other	Amit Abraham
Thanks liver... you are a champ!	Siddhant R. Shinde
deceivers shall always be at the junction of double mindedness	Ernest Agyemang Yeboah
one gets so hopelessly tired of deception.	Graham Greene
As the river enters into the ocean,so my heart touches Thee.	Kabir, Songs of Kabir
Your heart determines if you are rich or poor	Sonya Withrow
Love is like that. It's like a wildfire in my blood.	R.K. Lilley, Grounded
That someone would mourn her death made her want to live in the fiercest way.	H. L. Burke
It is better to live rich than to die rich. 	Samuel Johnson
When one good thing happened to you, other good things seemed to follow.	Candace Bushnell, Trading Up
Beware what you consume, lest you appetite grow by what it feeds on.	Candace Bushnell, Trading Up
Share your love, share your happiness; you will be rich and a great success.	Debasish Mridha
If you cannot see the fineness in my Hammer, you'd best look at him with better eyes.	Amy Lane, Hammer & Air
I'm not a princess but Ryan is a knight, he just belongs to someone else.	Katie McGarry, Dare You To
I know who you are. I love you. I love everything about you that hurts.	Patrick Marber, Closer
It's over, her mind whispered. There's still hope, her heart insisted.	Libba Bray, Lair of Dreams
What a selfish boy you are. You wished for the world but all you received were the skies.	F.K. Preston
Raw love, like raw heart-ache, could blindside you.	Jodi Picoult, Salem Falls
You don't get to choose," Lincoln said. "It's just happening.	Rainbow Rowell, Attachments
This isn't goodbye, okay. There are no goodbyes... not between us.	S.C. Stephens, Effortless
He is no longer mine to lose, but the grief is there, a gnawing sense of disbelief.	Lauren Oliver, Requiem
The only time you ever really lose love is when you choose to let it go.	Jessica Fortunato, Steam
The best way to prevent a heartache was to cushion the coming blow.	Jodi Picoult, Salem Falls
It's always times like these when I think of you and I wonder if you ever think of me.	Vanessa Carlton
You make my heart shake bend and break	Troye Sivan
You are what you love, not who loves you.	Patrick Stump Fall Out Boy
Maybe the key to finding the perfect song is simply rewriting the lyrics.	Kandi Steiner, Song Chaser
you knowI knowyou knowI'll remember youand I knowYou knowI knowyou'll remember me	One Direction
But it's easier to say 'I love you',than 'Yours, sincerely' I suppose.	Elvis Costello
You own me with whispers like poetry.Your mouth is a melody I memorize.	The Civil Wars
As once I loved you in my mortal flesh, without it now I love you still.	Dante Alighieri, Purgatorio
I have found that there is indeed a secret to a happy marriage. It is called perspective.	E. Obeng-Amoako Edmonds
Love means to commit yourself without guarantee.	Anne Campbell
If you’re willing to live in a cardboard box on the streets with him, then marry him.	Lori Colombo-Dunham
I knew I loved you when I kept trying to run away and find reasons why it wouldn’t work	John Geddes
Love is Not a Game It Is 100% Commitment	Ellen J. Barrier
He had never thought in his wildest imagination of marriage as an opti	Nia Forrester, Commitment
Is the murk which lives inside me,actually a dead star?	Sameer  Khan, Eerie Edges
Please stop sniffing the robot boy, Noemi tells herself, jerking out of the trance.	Claudia Gray, Defy the Stars
Tammaru’s office looked like NASA’s control room designed by Donald Trump.	K.L. Tharp
Your past is my Future.	Dean Koontz, Lightning
I held her like tomorrow would not come. It stitched me, if only for a second...	Ahmed Mostafa
Love someone and they're yours forever	Alice Hoffman, The River King
He says, "You know I love you. Still. Forever".	Sally Green, Half Lost
I'll love you forever, even when I can't.	Colleen Hoover, Confess
I want the fever to grab me forever and want you to be my fever.	Suman Pokhrel
I'll love you forever. EvenEven when i can't.	Colleen Hoover, Confess
If we had the chance to live forever, life would lose its charm for something better.	Debasish Mridha
I wish to be with you forever, to look upon your face always, to never leave your side.	Genie of Agrabah
Because you’re not a one-night girl, Irish.” (...) “You’re my forever girl.	K.A. Tucker, One Tiny Lie
I want all of you, forever everyday. You and me everyday.	Nicholas Sparks, The Notebook
For a thousand years,and then a thousand more…I will love you.	Jamie McGuire, Eden
In my humble opinion, forever is a bitter brew." - Max; Before Ever After ♥	Samantha Sotto
It's okay to love something a little too much,as long as it's real to you.	Gerard Way
Real love is the shared loneliness".	Alexandar Tomov
To understand the principle of love is to eradicate wrong acts	Sunday Adelaja
A person who always finds something wrong is most likely thinking wrong.	Debasish Mridha
She was thinking of doing a little Cuervo therapy.	Kelly Moran, Tracking You
‪Write only if you wish to read it again and again while falling in love with it... ‬	Ramana Pemmaraju
Observe your imperfections. Love them. Then move through them.	Matthew Donnelly
I suspect Nargles are behind it.	J.K. Rowling
The art of leaving and the art of loving are not the same.	Akif Kichloo
Acceptance and validation are the fuels of the future.	Kevin James Breaux
Sometimes the most painful lessons are delivered by someone masquerading as a soul mate.	Steve Maraboli
When you find love you will know. It will be the one thing worth waiting for.	Shannon L. Alder
I am flying blindly but sure to meet some day...wait for me!	Archana Singh
You only reveal your game plan when you know you're winning, or losing.	Ahmed Mostafa
What would it be like to hold a different girl?	Rainbow Rowell, Attachments
When you say "I love you", I expect you to prove it.	Neshialy S.
Summer-induced stupidity.That was the diagnosis...	Aimee Friedman, Sea Change
From Summer's EndWhat we have is enough. It's more than we consciously realized.	Sally Henson, Summer's End
The whole summer was inside of us.	Leah Raeder, Black Iris
Prove to me that you deserved it.	Kristine Cuevas
I love you because Five floor walk up1 to the 2 to the EThree avenues	Darnell Lamont Walker
Love is poetry plus biology.	Lawrence Durrell
If you truly loved yourself, you could never hurt another	Arshdeep Singh Samrala
Love is when you meet someone who tells you something new about yourself.	André Breton, Mad Love
You are beautiful no matter what they say, remember words can´t bring you down	Christina Aguilera
He gave a final shake of his coat. I go to the hunt!	Robin Hobb, Assassin's Fate
There are strangers, people we don't know, who care about is.	A.M. Homes
The Ideal age for marriage in men is 35. The Ideal age for marriage in women is 18	Aristotle
Begging for love but charitised... in turn!	Archana Singh
Begging for love and charitising in turn.	Archana Singh
I may not be my brothers keeper, but I am my brother's brother.	Jeffrey R. Holland
Everyone can choose to live with a golden heart, it is a privilege of loving truly.	Angelica Hopes
The greatest gift you can ever give is yourself.	Michelle Templet
For a moment, I felt like myself again. Not the new me, not the old me, just the real me.	Leslea Tash, Bird After Bird
love make you happy, sad, cry, angry and addicted	Ikbal mohamad
She broke my heart over and over, day after day, but I love her.	Kelly Moran, Summer's Road
Broken hearts made faults and fools of us all.	Natalia Jaster, Trick
It was a miserable thing, to be responsible for breaking your own heart.	Clifford Riley, Crushed
Your smile is the gift , all I ever wanted.	ykr deepak
Roxy was my breath of fresh air. My soft place to land. She was home to me.	Ashleigh Z., Louisiana Sky
And when a whisper became a begging it was time to move on.	Veronika Jensen
And I suffered you and gave you all my pieces	Ncumisa Mdlokolo
.if you cant let thing go, it owns you..	Boris Kovalík
Break my heart or break my fall.	Amber Newberry
True love was beyond the bars, but a facsimile of it came with no suffering at all.	D. Morgenstern
Being Uniquely YOU is the New Perfect.	Stephanie Lahart
The problem with human attraction is not knowing if it will be returned.	Becca Fitzpatrick, Hush, Hush
Just the kind of girl I liked—the weirdo in the bunch.	Anthony Kiedis, Scar Tissue
Her sudden grin depleted some of his brain cells. She was evil like that.	Kelly Moran, Benediction
That dress was designed to be a kill switch for rational thought.	Kelly Moran, Benediction
She may resemble a mythical angel, but she moved like an x-rated wet dream	Kelly Moran, Counterbalance
Love is victory of imagination over intelligence	Shantanand Sharma
Love is not blind. Infatuation is blind. Love is all-seeing and still accepting.	Anamika Mishra
Being in love is not always being happy but being happy is always being in love	Hisham Fawzi
There is no greater gift like LOVE.	Lailah Gifty Akita
Life's Irony; It is not only the poor that needs gifts, the rich also love to be gifted.	Auliq Ice
Love is a gift. One that doesn't need to be returned, just accepted.	Kelly Moran, All of Me
No, that was my privilege.	Dodie Smith
If you are successful, you will win false friends and true enemies. Succeed anyway	Pravinee Hurbungs
whenever i am in pain,i just think of watching your eye's in rain!	A.R.Maria
Love is not running away or giving up, it is standing and fighting for every moment.	M.F. Moonzajer
Still humanity is in her infancy, so often we engage in fighting to destroy ourself.	Debasish Mridha
Unrequited love is a ridiculous state, and it makes those in it behave ridiculously.	Cassandra Clare
Sometimes you grow to love the shadow that follows.	Donna Lynn Hope
What do you want from me, Snow?""Nothing," he says. And he means it, the actual bastard.	Rainbow Rowell, Carry On
unrequited love is the most selfless love.	Stefanie Sta. Maria
If I broke her heart, her image of me would break too	Vladimir Nabokov, Lolita
